id,text,theme_id,theme,author,author_title,comment_url,likes,replies,sentiment,idea_strength_seed
7369229855193747456,"This is great. I will commit to training and empowering AI education to Saudi with our Ai social platform utilizing Humain, particularly thru our education side we call STREAM to help push Saudi excellence. Every part of the world should be doing this and this is great leadership.",8,ai / saudi / humain,Adel Belgaied,CEO of PIVIT | All-In-One - AI Social Media AuthentIQ Intelligence | Your Brain - Your Algorithm,https://www.linkedin.com/feed/update/urn:li:activity:7369227868972691457?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7369227868972691457%2C7369229855193747456%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287369229855193747456%2Curn%3Ali%3Aactivity%3A7369227868972691457%29,0,3,0.45,9.7875
7369233271202664449,"Inspiring vision, Tareq — count me in. To make Hunain Academy uniquely practical from day one, I’d prioritize three pillars: Arabic-first LLM/RAG with PDPL/NDMO by design — evaluation harness (quality, latency, safety), red-teaming, and governance baked in. Production-grade LLMOps — vLLM/Triton serving, CI/CD for models & prompts, observability (metrics/traces/logs), and clear SLOs. AI FinOps — cost-per-token visibility, GPU utilization targets, caching/quantization playbooks to scale efficiently. #HunainAcademy #HumainAI #Vision2030 #AIUpskilling #TheEndOfLimits",5,ai / academy / real,Sultan Albuqami,"PMO & Program Delivery | BCM/DR & Compliance | Governance & Controls | Telecom & Infra | PMP®, PMI-RMP® | Bilingual (AR/EN) | Riyadh, KSA",https://www.linkedin.com/feed/update/urn:li:activity:7369227868972691457?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7369227868972691457%2C7369233271202664449%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287369233271202664449%2Curn%3Ali%3Aactivity%3A7369227868972691457%29,0,0,0.325,0.0
7369234100475301888,"1. Work back form the customer problem... not tech out. The goal is not to do AI.. its to solve problems and make the world better 2. The training should focus on the world ""in front of the model.. not behind the model"". 3. I'd go with three levels. Foundation (for all), Generalist (Reaching for AI in a practical way), and Specialist (as part of a AI project with budget) 4. Give them a tool kit with support to take away to stay connected to Humain 5. Pick the best candidates ambassadors program 6 Student outreach can lean towards the world behind the model and PHD research / talent scouting. For general students provide access to learn / grow / up-skill",7,ai / real / training,Gavin Payne,"Chief Digital Officer | AI, Design, Innovation, Creativity",https://www.linkedin.com/feed/update/urn:li:activity:7369227868972691457?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7369227868972691457%2C7369234100475301888%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287369234100475301888%2Curn%3Ali%3Aactivity%3A7369227868972691457%29,0,5,0.22499999999999998,13.78125
7369237264830263297,"Tareq Amin Just completed Stanford’s Post Grad Certificate in AI and ML - the theory is world-class but what’s missing is the 0-to-1 journey. How to choose between GPT-5, Claude, Gemini or now HUMAIN for YOUR specific use case. How to handle edge cases when your users aren’t typical (at Futuroos, we’re building AI-powered behavioral assessment for 5-9 year olds that predicts career aptitudes through gameplay and learn from it as well - try explaining that to traditional ML approaches). How to optimize costs without sacrificing quality when you need real-time inference. My ideal AI learning path: Start with a real problem, ship something in week 1, iterate with actual user feedback, THEN understand why it works. Theory should support building, not precede it. Would love to see Hunain Academy focus on ‘AI in production’ - dealing with rate limits, handling hallucinations, building guardrails for sensitive use cases (essential when your AI assesses children’s potential). The messy stuff that actually determines if your product succeeds. Saudi needs builders who can ship, not just prototype. This is exactly the right vision 🚀",4,ai / tareq / tareq amin,Ahmed Ashraf,GRC & Enterprise Risk Services - Business Resilience at MNP | CBCP | McGill MBA | CSM® | CSPO® | Military Veteran | ACSA® | Trained Leader and An Avid Problem Solver,https://www.linkedin.com/feed/update/urn:li:activity:7369227868972691457?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7369227868972691457%2C7369237264830263297%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287369237264830263297%2Curn%3Ali%3Aactivity%3A7369227868972691457%29,0,3,0.1480654761904762,7.749441964285715
7369238195223367680,"This is a truly visionary initiative. Hunain Academy can address a critical gap—developing talent that is not only certified, but capable of delivering measurable impact. Academc training must be progressive, balanced, and multidimensional—integrating skills, knowledge, and experience as complementary pillars. Motivation to learn is a spark; without structure, it fades. The Academy can turn that spark into a sustainable flame by meeting learners at different entry points and guiding them through well-designed stages. Global best practices, the NICE Framework, emphasize aligning skill, knowledge, and competency with industry outcomes. In this context, Hunain Academy should put learner motivation at the center—a higher priority than filtering or testing. Challenges should serve as enablers, introduced purposefully to reinforce learning or validate readiness, never at the cost of discouragement. Sustaining motivation first ensures lasting engagement, stronger performance, and real employability. Ultimately, the true benchmark is not certification, but the ability to apply skills with efficiency, confidence, and impact. Hunain Academy has the opportunity to set that benchmark—not only for Saudi Arabia, but for the wider region.",5,ai / academy / real,Nawwaf Alabdulhadi,Cybersecurity Strategist | National Ecosystem & Digital Architecture Leader | Regulatory Frameworks & Digital Transformation | Program Orchestration | Harvard | CMU | U.S. Patent Holder,https://www.linkedin.com/feed/update/urn:li:activity:7369227868972691457?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7369227868972691457%2C7369238195223367680%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287369238195223367680%2Curn%3Ali%3Aactivity%3A7369227868972691457%29,0,0,0.20357142857142857,0.0
7369238200994713602,"Thank you for sharing this in public. I think there is something happening in the background and we should focus on, and that is how to run the Data Centers that will host the AI processing sustainaby? Thanks again !",0,ai / training / humain,Ali Nasser,PMP® | Ph.D. Candidate in Electrical Engineering | Sustainable Energy for Data Centers | Tau Beta Pi Honor Member,https://www.linkedin.com/feed/update/urn:li:activity:7369227868972691457?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7369227868972691457%2C7369238200994713602%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287369238200994713602%2Curn%3Ali%3Aactivity%3A7369227868972691457%29,0,0,0.125,0.0
7369238913195913216,"What a brilliant idea Tareq Amin as I was thinking about the value of this initiative since lunching of Humain. I think it can be distinguished by becoming a Pro-Social AI hub that blends local priorities with global best practices, combining hands-on skills, ethics and governance, and Arabic-focused innovation. It should focus on AI professionals who are technically competent and also human-oriented builders and globally aware leaders and able to create measurable social and economic impact. Some practical applications I suggest to emphasize: 1. Pro-Social AI projects tackling real social challenges. 2. Replacing certificates with impact-based outcomes. 3. Creating an AI-to-startup accelerator pipeline.",2,ai / tareq / amin,Prof. Ahmed Al Khateeb,"Sr. Advisor | Agile Leadership | Governance | Public Policy | EdTech | Inspiring Innovation with Upholding Ethics, Human-Centered Values, and Social Impact | Digital Wellbeing",https://www.linkedin.com/feed/update/urn:li:activity:7369227868972691457?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7369227868972691457%2C7369238913195913216%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287369238913195913216%2Curn%3Ali%3Aactivity%3A7369227868972691457%29,0,2,0.353030303030303,6.088636363636363
7369239910765002756,"Academy is a must ,but I think basically to start with 3 complete courses should be prepared that include:1.Students in Schools and Universities. 2.Governmental employees.3.Private sector. These courses will introduce AI and how to deploy it to be intergarted with the exsisted system, that will lead us how to benefit from AI in each field for better output.",4,ai / tareq / tareq amin,Mohannad Abbas Haddadin,"CEO at Jobkins Enterprises. Partner @ PointZero App. GM at Jobkins Centre For Strategic Studies. Consultant at CDAG-DDL Group. Expert and Strategic Analyst in the Politics, Economics, Technology,Security,Finance.",https://www.linkedin.com/feed/update/urn:li:activity:7369227868972691457?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7369227868972691457%2C7369239910765002756%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287369239910765002756%2Curn%3Ali%3Aactivity%3A7369227868972691457%29,0,0,0.3,0.0
7369241106997309443,"This is a fantastic initiative. The vision for Humain Academy feels very timely and much needed in the region. From my own experience working on AI use cases in healthcare and telecom, one of the biggest gaps I’ve noticed is the bridge between theoretical knowledge and practical, enterprise-ready implementation. Learners often understand concepts but struggle to apply them in real-world, industry-grade scenarios. I’d suggest focusing on: Hands-on labs where learners can build and deploy AI models on real datasets. End-to-end projects (from data preparation to deployment & monitoring) to simulate the true lifecycle of AI solutions. Domain-focused tracks (healthcare, finance, telecom, government) so participants see immediate relevance to their industries. Agentic AI and LLMOps as these are the future of scalable, enterprise adoption. If Humain Academy can deliver training that produces not just AI enthusiasts, but AI practitioners ready to contribute from day one, it will be a remarkable achievement for Saudi and the region. Happy to collaborate or share insights from the projects I’ve been working on.",5,ai / academy / real,Mohammad Naushad,Data | AI | Generative AI | Agentic AI | Lang chain | Lang Graph | Author | Enterprise Architect | Solution Architect | Digital Transformation | Cloud Solutions,https://www.linkedin.com/feed/update/urn:li:activity:7369227868972691457?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7369227868972691457%2C7369241106997309443%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287369241106997309443%2Curn%3Ali%3Aactivity%3A7369227868972691457%29,0,0,0.33636363636363636,0.0
7369242739667857410,"Tareq Amin The way I see it, AI training should start with business outcomes, not tools. Define a clear goal—like cutting support costs or boosting sales—and then design the learning backward so learners actually build AI solutions that deliver those outcomes.",4,ai / tareq / tareq amin,"Hussam Alharbi, CME-1, C-KPI",KPI & Process Optimization Infused with AI,https://www.linkedin.com/feed/update/urn:li:activity:7369227868972691457?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7369227868972691457%2C7369242739667857410%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287369242739667857410%2Curn%3Ali%3Aactivity%3A7369227868972691457%29,0,0,-0.16666666666666666,0.0
